4	1	40	1\
4	1	20	1\
3	1	40	1\
4	1	30	1\
4	1	50	1\
5	1	30	1\
5	1	60	1\
5	1	40	1\
5	1	50	1\
5	2	40	1\
5	2	50	1\
3	3	30	2\
3	3	40	2\
3	4	40	2\
3	4	50	2\
2	3	40	2\
2	3	45	2\
2	4	40	2\
3	3	25	2\
4	2	40	2\
4	2	50	2\
4	3	50	2\
4	3	40	2\
4	4	30	2\
4	4	40	2\
4	4	50	2\
4	3	20	2\
4	3	30	2\
4	3	40	2\
4	3	50	2\
5	3	40	2\
5	3	50	2\
5	3	60	2\
6	3	50	2\
6	4	50	2\
6	3	60	2\
6	1	40	3\
6	1	30	3\
6	1	50	3\
6	1	60	3\
6	1	70	3\
6	2	40	3\
6	2	50	3\
6	2	60	3\
6	2	70	3\
7	1	50	3\
7	1	60	3\
7	1	70	3\
7	2	50	3\
7	2	60	3\
7	2	70	3\
7	3	50	3\
7	3	60	3\
3	2	12	4\
4	3	20	4\
10	3	60	3\
1	3	10	4\
1	2	15	4\
1	1	10	4\
3	1	5	4\
2	1	10	4\
2	1	15	4\
2	3	15	4\
2	4	20	4\
2	4	15	4\
3	3	20	4\
3	3	15	4\
